Adak,Aleutians West,Alaska,55.999722,-161.207778
Akiachak,Bethel,Alaska,60.891854,-161.39233
Akiak,Bethel,Alaska,60.890632,-161.199325
Akutan,Aleutians East,Alaska,54.143012,-165.785368
Alakanuk,Wade Hampton,Alaska,62.746967,-164.60228
Aleknagik,Dillingham,Alaska,59.269688,-158.619882
Allakaket,Yukon Koyukuk,Alaska,66.543197,-152.712155
Ambler,Northwest Arctic,Alaska,67.46951,-156.455652
Anaktuvuk Pass,North Slope,Alaska,68.11878,-151.679005
Anchor Point,Kenai Peninsula,Alaska,59.788818,-151.732933
Anchorage,Anchorage,Alaska,61.211571,-149.876077
Anderson,Denali,Alaska,64.300693,-149.1718
Angoon,Skagway Hoonah Angoon,Alaska,57.569832,-134.371052
Aniak,Bethel,Alaska,61.691648,-157.758502
Anvik,Yukon Koyukuk,Alaska,62.830913,-160.130441
Arctic Village,Yukon Koyukuk,Alaska,68.077395,-145.423115
Atka,Aleutians West,Alaska,52.199167,-174.213333
Atqasuk,North Slope,Alaska,71.290556,-156.788611
Auke Bay,Juneau,Alaska,58.3833,-134.6597
Barrow,North Slope,Alaska,71.234637,-156.817409
Beaver,Yukon Koyukuk,Alaska,66.33883,-147.279803
Bethel,Bethel,Alaska,60.832389,-161.824053
Bettles Field,Yukon Koyukuk,Alaska,67.100495,-151.062414
Big Lake,Matanuska Susitna,Alaska,61.5842,-149.4401
Brevig Mission,Nome,Alaska,65.334187,-166.478578
Buckland,Northwest Arctic,Alaska,65.981052,-161.131676
Cantwell,Denali,Alaska,63.395458,-148.89735
Central,Yukon Koyukuk,Alaska,65.468058,-144.74886
Chalkyitsik,Yukon Koyukuk,Alaska,66.719,-143.638121
Chefornak,Bethel,Alaska,60.153746,-164.210294
Chevak,Wade Hampton,Alaska,61.583982,-164.776457
Chicken,Southeast Fairbanks,Alaska,64.075,-141.933333
Chignik,Lake And Peninsula,Alaska,56.301639,-158.415696
Chignik Lagoon,Lake And Peninsula,Alaska,56.251277,-158.673528
Chignik Lake,Lake And Peninsula,Alaska,56.255556,-158.7625
Chitina,Valdez Cordova,Alaska,61.516667,-144.436667
Chugiak,Anchorage,Alaska,61.409802,-149.453736
Circle,Yukon Koyukuk,Alaska,65.824542,-144.08262
Clam Gulch,Kenai Peninsula,Alaska,60.201603,-151.422628
Clarks Point,Dillingham,Alaska,58.84921,-158.451241
Clear,Denali,Alaska,64.418121,-149.139885
Coffman Cove,Prince Wales Ketchikan,Alaska,55.342222,-131.646111
Cold Bay,Aleutians East,Alaska,55.610952,-161.942941
Cooper Landing,Kenai Peninsula,Alaska,60.476692,-149.823514
Copper Center,Valdez Cordova,Alaska,61.91581,-144.97793
Cordova,Valdez Cordova,Alaska,60.102558,-147.943316
Craig,Prince Wales Ketchikan,Alaska,55.47317,-133.117081
Crooked Creek,Bethel,Alaska,61.818072,-158.002483
Deering,Northwest Arctic,Alaska,66.062265,-162.711951
Delta Junction,Southeast Fairbanks,Alaska,64.005426,-145.613611
Denali National Park,Denali,Alaska,63.516075,-149.539532
Dillingham,Dillingham,Alaska,59.059279,-158.973533
Douglas,Juneau,Alaska,58.275597,-134.395041
Dutch Harbor,Aleutians West,Alaska,53.362757,-167.510656
Eagle,Southeast Fairbanks,Alaska,64.783333,-141.2
Eagle River,Anchorage,Alaska,61.311357,-149.508515
Eek,Bethel,Alaska,60.215058,-162.032341
Egegik,Lake And Peninsula,Alaska,58.206174,-157.342202
Eielson Afb,Fairbanks North Star,Alaska,64.67352,-147.08051
Ekwok,Dillingham,Alaska,59.362792,-157.478211
Elfin Cove,Skagway Hoonah Angoon,Alaska,58.195,-136.358333
Elim,Nome,Alaska,64.621662,-162.260371
Elmendorf Afb,Anchorage,Alaska,61.251531,-149.812667
Emmonak,Wade Hampton,Alaska,62.827404,-164.131298
Ester,Fairbanks North Star,Alaska,64.846667,-148.016667
Fairbanks,Fairbanks North Star,Alaska,64.840238,-147.710431
False Pass,Aleutians East,Alaska,54.841028,-163.436845
Fort Greely,Southeast Fairbanks,Alaska,64.036667,-145.733333
Fort Richardson,Anchorage,Alaska,61.275256,-149.675454
Fort Wainwright,Fairbanks North Star,Alaska,64.828303,-147.655673
Fort Yukon,Yukon Koyukuk,Alaska,66.520744,-145.306439
Gakona,Valdez Cordova,Alaska,62.654744,-143.568393
Galena,Yukon Koyukuk,Alaska,64.760784,-156.797701
Gambell,Nome,Alaska,63.776555,-171.701685
Girdwood,Anchorage,Alaska,60.9425,-149.166389
Glennallen,Valdez Cordova,Alaska,62.103895,-145.661684
Goodnews Bay,Bethel,Alaska,59.085008,-161.587146
Grayling,Yukon Koyukuk,Alaska,63.372013,-159.404907
Gustavus,Skagway Hoonah Angoon,Alaska,58.42835,-135.761542
Haines,Haines,Alaska,59.251886,-135.542032
Healy,Denali,Alaska,63.917123,-149.011128
Holy Cross,Yukon Koyukuk,Alaska,62.192584,-159.825092
Homer,Kenai Peninsula,Alaska,59.665495,-151.462644
Hoonah,Skagway Hoonah Angoon,Alaska,58.032237,-135.558435
Hooper Bay,Wade Hampton,Alaska,61.537157,-165.891045
Hope,Kenai Peninsula,Alaska,60.92,-149.641667
Houston,Matanuska Susitna,Alaska,61.633611,-149.841111
Hughes,Yukon Koyukuk,Alaska,66.038246,-154.26443
Huslia,Yukon Koyukuk,Alaska,65.689918,-156.291976
Hydaburg,Prince Wales Ketchikan,Alaska,55.137406,-132.633175
Hyder,Prince Wales Ketchikan,Alaska,55.925867,-130.124915
Iliamna,Lake And Peninsula,Alaska,59.564836,-155.462556
Indian,Anchorage,Alaska,60.9804,-149.4917
Juneau,Juneau,Alaska,58.362767,-134.529429
Kake,Wrangell Petersburg,Alaska,56.975833,-133.947222
Kaktovik,North Slope,Alaska,70.042889,-143.631329
Kalskag,Bethel,Alaska,61.541006,-160.3261
Kaltag,Yukon Koyukuk,Alaska,64.330452,-158.724251
Karluk,Kodiak Island,Alaska,57.57,-154.458333
Kasigluk,Bethel,Alaska,60.895556,-162.520556
Kasilof,Kenai Peninsula,Alaska,60.316365,-151.28958
Kenai,Kenai Peninsula,Alaska,60.614467,-151.254556
Ketchikan,Ketchikan Gateway,Alaska,55.372028,-131.683175
Kiana,Northwest Arctic,Alaska,67.18026,-158.152204
King Cove,Aleutians East,Alaska,55.062848,-162.305561
King Salmon,Bristol Bay,Alaska,58.724264,-156.641603
Kipnuk,Bethel,Alaska,59.923204,-164.101013
Kivalina,Northwest Arctic,Alaska,67.665859,-163.733617
Klawock,Prince Wales Ketchikan,Alaska,55.552611,-133.055503
Kobuk,Northwest Arctic,Alaska,66.912253,-157.066864
Kodiak,Kodiak Island,Alaska,57.781967,-152.500169
Kongiganak,Bethel,Alaska,60.9888,-149.4116
Kotlik,Wade Hampton,Alaska,63.029471,-163.554153
Kotzebue,Northwest Arctic,Alaska,66.846459,-162.126493
Koyuk,Nome,Alaska,64.931668,-161.149957
Koyukuk,Yukon Koyukuk,Alaska,64.883333,-157.7
Kwethluk,Bethel,Alaska,60.771814,-161.38849
Kwigillingok,Bethel,Alaska,59.881022,-162.984938
Lake Minchumina,Yukon Koyukuk,Alaska,63.903884,-152.430081
Larsen Bay,Kodiak Island,Alaska,57.538333,-153.98
Levelock,Lake And Peninsula,Alaska,59.371395,-154.976815
Lower Kalskag,Bethel,Alaska,61.51377,-160.359966
Manley Hot Springs,Yukon Koyukuk,Alaska,65.02058,-150.573267
Manokotak,Dillingham,Alaska,59.009559,-158.989699
Marshall,Wade Hampton,Alaska,61.837087,-161.7394
Mc Grath,Yukon Koyukuk,Alaska,62.967153,-155.585153
Mekoryuk,Bethel,Alaska,60.365679,-166.283583
Metlakatla,Prince Wales Ketchikan,Alaska,55.121491,-131.579001
Meyers Chuck,Prince Wales Ketchikan,Alaska,55.741667,-132.253333
Minto,Yukon Koyukuk,Alaska,65.058399,-149.691186
Moose Pass,Kenai Peninsula,Alaska,60.85852,-149.255911
Mountain Village,Wade Hampton,Alaska,62.158913,-163.883822
Naknek,Bristol Bay,Alaska,58.885699,-156.705405
Napakiak,Bethel,Alaska,60.663758,-161.738144
Nenana,Yukon Koyukuk,Alaska,64.557656,-149.086744
New Stuyahok,Dillingham,Alaska,59.593533,-157.297205
Nightmute,Bethel,Alaska,60.479444,-164.723889
Nikiski,Kenai Peninsula,Alaska,60.690278,-151.288889
Nikolai,Yukon Koyukuk,Alaska,63.001603,-154.381247
Nikolski,Aleutians West,Alaska,52.988337,-168.788427
Ninilchik,Kenai Peninsula,Alaska,60.010833,-151.639604
Noatak,Northwest Arctic,Alaska,66.97553,-160.509453
Nome,Nome,Alaska,64.505775,-165.310667
Nondalton,Lake And Peninsula,Alaska,60.030837,-154.731675
Noorvik,Northwest Arctic,Alaska,66.836353,-161.044132
North Pole,Fairbanks North Star,Alaska,64.78049,-147.369353
Northway,Southeast Fairbanks,Alaska,62.964167,-141.908611
Nuiqsut,North Slope,Alaska,70.192737,-150.997119
Nulato,Yukon Koyukuk,Alaska,64.778024,-157.991353
Nunam Iqua,Wade Hampton,Alaska,62.509167,-164.453333
Nunapitchuk,Bethel,Alaska,60.896944,-162.459444
Old Harbor,Kodiak Island,Alaska,57.202778,-153.303889
Ouzinkie,Kodiak Island,Alaska,57.925,-152.491667
Palmer,Matanuska Susitna,Alaska,61.613814,-149.065323
Pedro Bay,Lake And Peninsula,Alaska,59.92238,-153.821856
Pelican,Skagway Hoonah Angoon,Alaska,57.960833,-136.2275
Perryville,Lake And Peninsula,Alaska,55.945289,-159.259333
Petersburg,Wrangell Petersburg,Alaska,56.827134,-133.160683
Pilot Point,Lake And Peninsula,Alaska,57.595193,-157.449272
Pilot Station,Wade Hampton,Alaska,61.946159,-162.874716
Platinum,Bethel,Alaska,58.63364,-162.043201
Point Baker,Prince Wales Ketchikan,Alaska,56.307858,-133.376372
Point Hope,North Slope,Alaska,68.312058,-166.72618
Point Lay,North Slope,Alaska,69.705626,-162.906148
Port Alexander,Wrangell Petersburg,Alaska,57.05,-135.333333
Port Alsworth,Lake And Peninsula,Alaska,60.636416,-154.433803
Port Heiden,Lake And Peninsula,Alaska,56.964333,-158.566367
Port Lions,Kodiak Island,Alaska,57.866667,-152.883333
Prudhoe Bay,North Slope,Alaska,70.070057,-148.559636
